tweet_id,processed_tweet
1,oh owies happen
2,follow back twitter sm twitter
3,todaay lets show nottingham things done
4,cant sleep
5,yes thanks reaveling world bro fuck life hahaha
6,awe always sucks cant sleep bed hope dad gets better prayers
7,straight outta hak mob months actually gettin twitter ive cont
8,arrgghh hadnt seen last nights episode yet pity lose though
9,think kelly clarkson new album pumping mp3 player weeks
10,hi im new twitter
11,nigga need go twitter jail
12,good night sweet dreamz
13,twitter hope never stop dreaming dreams fuel soul love dreaming big seeing happens
14,possible today nice
15,microsoft arrogance ballmer says need computer scientist use android
16,thinking big v twin
17,good night twitter
18,damn b espanol francais one talented lady
19,thanks allan photos joolz soiree held brisbane last year
20,morning everyone still feeling poorly hope u good day x
21,oh wtf house cool
22,hot deadline
23,mock
24,feel like promoting anyones twitter page want get promoteback twitter
25,twitter statuses youd never post facebook
26,ugh allergies killing tonight house driving crazy run live bubble together yes
27,strategic technology agenda twitter strategy
28,u couldnt tweet phone lot people wouldnt twitter broke fact
29,woohoo yeah day rockin hard core
30,welcome twitter
31,going month ugh
32,train travelling speed get gym work
33,didnt get twitter crap reply
34,wish dunkin donuts holland today moms back japan cant wait see
35,ty simply da best twitter tweeps
36,guys mentioned haha cool ive posting random stuff past getting kick
37,found great chinese place hang
38,microsoft dynamics gp soon offer hyperv images
39,
40,im officially going bed goodnight
41,ok sleep magnetic mattress gnight sweet dreams
42,twitter making ass stay later planed
43,correction dont tell cert use different matter without win yet another
44,drizzling day u going rain might well pour
45,went doctors today blood sugar level
46,international font looks ugly going back original font whod tweet malayalam
47,avatar teh purdiness
48,google mobile boss andy rubin apple microsoft tablets live asiad ina fried mobile allthingsd
49,cute friend finally got twitter EMO_POS
50,early twitter buzz star trek secret premiere austin holy crap wish
51,solution found
52,nessun realmente guess mean
53,flu shot work arm hurts
54,youre dead set legend please make broadbands super fast love forever
55,mom root canal also feel pain buddy
56,microsoft idea search internet like celebrity todd
57,u write back twitter miss ya garee x
58,oomf dnt start dis twitter
59,really heavy rain top building splendid
60,much appreciate information thanks
61,twitter
62,ok tweet peep must head bed got take test law tomorrow summer yet anyway much love huggers
63,omni touch screen system going beyond touch screens featured microsoft omnitouch
64,twitter great get hang told get one cool kid
65,break bible share scripture
66,money yet dont know anyone maybe lie hes us like little bit lol
67,im sur ehon im coming people like days bout yall come ot la
68,ads yet appeared google adsense team said may delay hrs
69,called hunnybunny miss already night lova
70,twitter followers either like sense humor sex appeal guess im funny lol
71,shares yeheeyy karma gone
72,finished nails electric blue
73,im feeling somewhat artistic time break sketching pad feel new dress design coming
74,cuz like troybolton hottiemcsuperbob omfgz nail buds cries
75,one serious statement tho twitter
76,need speak sum real shit twitter
77,twitter aint broke trent got plenty dough
78,music today blip.fm undergoing maintenance
79,oh aint gonna ur bitch muwahaha
80,hope feel better cali
81,mine
82,ihateitwhen think cool da tym grab da fone load twitter would forgotten dumbass
83,rocks dont tell said
84,one freaky movie like got
85,want guy like carmello jimmy
86,wonder long stay pass wake
87,still waiting missing baby boy
88,ah hate flu third day guess happened accidently shaved eye brows need glasses
89,dinner menu week something pastay cheese also chicken noodle soup
90,twitter
91,much traffic a2 cant wait till lanes ready
