tweet_id,processed_tweet
1,congress deep rooted corruption black money power hungry congressmuktbharat
2,asksportstak kl average rohit average test kl rahul
3,support gst anti national malaya runaway government failure
4,check headquarters may hiding check sonia rahul hide even check
5,ironically large section called spineless media rahul anti modi
6,rahul gandhi standup comedians industry
7,hard earned money taxpayers leisure
8,sensational charge says p chidambaram india upfront rahul
9,sensational charge says p chidambaram india upfront rahul
10,fact dear rahul earth possible
11,akshaye khanna character poster section375 costars richa chadha rahul bhat meera chopra directed
12,ignominy pappu familys consigliere officially absconding offender
13,hey rahul gandi look cental gov done amit shah modi ji modi ji
14,bro nothing bollywood heroes rahul south films targetting
15,important setback pakistan senior us state department official spoken record group
16,mr rahul ur fit director star hero nagarjuna
17,whether imran khan rahul gandhi see sheer impotent anger directed social media
18,nowadays front page giving clinically valid correct reporting pc type cases
19,rahul gandhi ask made cbi accountable free clutch political pressure answer
20,modi govt using ed cbi sections media assassinate character chidambaram rahul gandhi
21,mumbra become lawless ghetto zero fear law enforcement officers prizes guessing
22,hey rahul gandi look cental gov done amit shah modi ji modi ji
23,acha im violating pakistani laws
24,rahul gandhi happy upa power anticipation arrest pchidambaram certainly causing fear
25,public waiting happiest day rahul family b behind bars
26,sensational charge says p chidambaram india upfront rahul
27,rahul gandhi happy upa power anticipation arrest pchidambaram certainly causing fear
28,whats wrong faith people troubling beating humans coz want worship god history
29,hey rahul gandi look cental gov done amit shah modi ji modi ji
30,friend rahul lost job recently
31,priyanka rahul gandhi comes support chidambaram says modi govt using cbi ed priyanka
32,accuses government using central agencies malign pchidambaram
33,congress powerful security council without support mainstream people see support rahul
34,accuses government using central agencies malign pchidambaram
35,missing alert name p chidambaram last seen new delhi height corruption colour similar rahul
36,sensational charge says p chidambaram india upfront rahul
37,govt using ed cbi sections spineless media character assassinate mr chidambaram rahul
38,heard planning install sachin pilot scindia manmohan worse rahul next
39,prabhas shraddhakapoor coming kapilsharma show today saaho promotions mumbai hindi
40,congress leaders rahul priyanka gandhi say chidambaram
41,cbi checked residences priyanka possibilities kingpin may hiding
42,yup
43,modis govt using ed cbi sections spineless media character assassinate mr chidambaram tweeted
44,hands looking like shit
45,well want see raj thackeray take modi govt far one apart rahul gandhi
46,rahul gandhi slams centre action probe agencies former union finance minister p chidambaram
47,short tempered people r supporting himaja maheshvitta sensitive people r supporting ravi jyothi intelligent
48,mrs priyanka rahul gandhi f.m works court everything dont barking chor congress
49,rahul gandhi even mean corrupt escape clutches law
50,rahul gandhi happy upa power anticipation arrest pchidambaram certainly causing fear
51,breaking hearing today anticipatory bail plea supreme court denies urgent hearing
52,live chidambarammissing rahul gandhi backs p chidambaram claims character assassination stay tuned
53,days ago governor satya pal mallik invited rahul gandhi see situation normal today ghulam nabi
54,congress leader rahulgandhi wednesday accused government using ed cbi sections media
55,hey rahul gandi look cental gov done amit shah modi ji modi ji
56,tadipar revenge spree going work long rahul ji fix illiterate bhakts
57,rahul gandhi happy upa power anticipation arrest pchidambaram certainly causing fear
58,hey rahul gandi look cental gov done amit shah modi ji modi ji
59,days ago governor satya pal mallik invited rahul gandhi see situation normal today ghulam nabi
60,internet works
61,biggest achievement pm modi stopped congress leaders looting india forced apply bail eg
62,hey rahul gandi look cental gov done amit shah modi ji modi ji
63,condemning help rahul get
64,indian ppl still sleeping select good leader like gandhi
65,well lost job kya yehi rahul gandhi k women empowerment hai
66,missing alert name p chidambaram last seen new delhi height corruption colour similar rahul
67,last year originally gutted picked rahul
68,rahul gandhi lost job congress president industry politics
69,ur words people yet use right daily
70,cbi registers new fir dtd aug prannoy roy wife radhika vikram chandra ndtv public officials
71,prabhas saaho shoot still
72,rahul gandhi accuses govt using central agencies malign chidambaram india news
73,rahul gandhi happy upa power anticipation arrest pchidambaram certainly causing fear
74,rahul gandhi happy upa power anticipation arrest pchidambaram certainly causing fear
75,possible last month pc spoken discomfort congress due uncertainty
76,breaking hearing today anticipatory bail plea supreme court denies urgent hearing
77,reality economy
78,govt using ed cbi sections media character
79,mr rahul stay one side behave like modi bakthas
80,combined raid points combined super epic battle rahul showman chaudhari deepak niwas hooda
81,trump calls kashmir complicated situation offers proposal mediate read story
82,rahul gandhi happy upa power anticipation arrest pchidambaram certainly causing fear
83,mr kingpin
84,way teach lesson pc blackmailing ls seat
85,govt using ed cbi sections media character assassinate chidambaram
86,question solved rahul gandhi
87,sensational charge says p chidambaram india upfront rahul
88,possible last month pc spoken discomfort congress due uncertainty rahul resigned
89,missing alert name p chidambaram last seen new delhi height corruption colour similar rahul
90,spinning industry facing biggest crisis huge job losses slowdown textile ind provides employment abt
91,cheetah cheetah cheetah thats rahul im leopard kuchkuchhotahaitumnahisamjhoge
92,parle founded employs people flagship biscuit brand parleg considered
93,rahul gandhi gandhi family always stand support corrupt persons country
94,pity restrict character assassination mr rahul
95,modi government using cbi ed target chidambaram rahul rahulgandhi
96,insights insurance product management insurtech cpo podcast another
97,rahul gandhi congress president industry politics
98,breaking hearing today anticipatory bail plea supreme court denies urgent hearing
99,breaking hearing today anticipatory bail plea supreme court denies urgent hearing
100,rahul gandhi happy upa power anticipation arrest pchidambaram certainly causing fear
