tweet_id,tweet_text,polarity
1,"@annemarike oh no  owies, when will that happen? ",negative
2,RT @zaibatsu: Should You Follow Back On Twitter? http://t.co/4Wwdy96I #sm #twitter,neutral
3,TODAAAAAY! Let's show Nottingham how things are done! ,positive
4,i cant sleep ,negative
5,@StreetWearBear.  yes I am thanks for reaveling to the world bro fuck my life hahaha,positive
6,@PhillyD Awe it always sucks when you cant sleep in your own bed  Hope your dad gets better he is in my prayers .,negative
7,"""Straight Outta Hak Mob"" RT @Jhon_Doe_Smokes: Out of my 7 months of actually gettin on #Twitter. I've only beeâ€¦ (cont) http://t.co/qDM3X8BB",neutral
8,"@Kal_Penn arrrggghhh, and I hadn't seen last night's episode yet! Pity to lose you, though. ",negative
9,@katayy what do you think of Kelly clarkson? her new album has been pumping through my MP3 player for weeks now ,positive
10,@heidimontag hi  I'm new to twitter ,positive
11,This nigga need to go to #Twitter Jail,neutral
12,@amp451 good night  sweet dreamz,positive
13,#twitter I hope all of you never stop dreaming! Because dreams fuel your soul! I love dreaming big and seeing what happens!,positive
14,23 or 24ï¿½C possible today. Nice ,positive
15,@nand_krish007 #Microsoft arrogance again - Ballmer says you need to be a computer scientist to use #Android http://t.co/pltitgeI,neutral
16,is thinking big v twin ,positive
17,Good Night #Twitter.,neutral
18,"@DefyGravity81 damn B, espanol and francais? you are one talented lady ",positive
19,@allan_at_rogue thanks Allan! They are photos from a Joolz Soiree I held up in Brisbane last year ,positive
20,morning everyone!! still feeling poorly!   hope u all have a good day! x,negative
21,oh wtf @ house. NOT COOL. ,negative
22,hot deadline... ,negative
23,mock + documentary=mockumentary  ,positive
24,I Feel Like #Promoting Anyones #Twitter Page (â™¦MENTION ME IF YOU WANT TO GET #PROMOTEDâ™¦) [ #PromoteBack ] twitter,neutral
25,RT @JonJars: #twitter; for those statuses you'd never post on #facebook,neutral
26,ugh... allergies are killing me tonight! this house is driving me crazy! you and i should just run off and live in a bubble together  yes?,positive
27,How strategic is our technology agenda? http://t.co/bmeiy5rq #Twitter #Strategy,neutral
28,if u couldnt tweet from your phone a lot of people wouldnt be on #twitter -- #broke #fact,neutral
29,@cookrn woohoo!  yeah that day i was rockin it hard core  ,positive
30,@HectorAlteto welcome to the #twitter,neutral
31,I am going to be 30 in a month...  Ugh ,negative
32,The train is travelling at a speed that will get me to the gym before work ,negative
33,@babyporridge I didn't get your 'Twitter is crap' reply ,neutral
34,I wish we had a Dunkin Donuts in Holland  Today my moms back from Japan. Can't wait to see her!,negative
35,RT @Luisfitq: Ty!RT @nine_oh: SIMPLY DA BEST ON #TWITTER MY TWEEPS @MsCarieFWR @dizzleb19 @LBN_Prod @Federal_and_Co @KimDeanMusic @mscre ...,neutral
36,"@ryuuenx no the other guys you mentioned, haha  its cool ive been posting up random stuff for the past hour&amp; been getting a kick out of it",positive
37,@imagejennation @whitrt we found a great Chinese place to hang out at ,positive
38,#Microsoft #Dynamics GP soon to offer 64-bit Hyper-V images only : http://t.co/82CFFcHZ,neutral
39,#Twitter&FBOff,positive
40,I'm officially going to bed! Goodnight ,positive
41,OK all... Off to sleep on my magnetic mattress.  http://bit.ly/hPNrI  G'night all!  Sweet Dreams.   ,positive
42,#twitter be making my ass stay up later than planed,neutral
43,"@smaffulli correction: they don't tell you, but a cert. is there. How you can use it is a different matter, and without Win yet another! ",negative
44,@meganh93 same it has been drizzling all day  if u are going to rain might as well pour.,negative
45,Went to the doctor's today and my blood sugar level was 178. ,negative
46,"But the international font looks ugly. Going back to original font. After all, who'd tweet in malayalam ",negative
47,@lucky_23 Your avatar is teh purdiness ,positive
48,"#Google #Mobile Boss Andy Rubin on #Apple, #Microsoft and Tablets, Live at AsiaD - Ina Fried - #Mobile - AllThingsD http://t.co/S0jkqPwn",neutral
49,- My Cute Friend @MelodyBtcc Finally Got A #Twitter :),neutral
50,Early Twitter Buzz: Star Trek Has Secret Premiere in Austin - http://is.gd/r9vr Holy crap! Wish I was there... ,negative
51,@trash_kitten  solution will be found!,neutral
52,@EmilyCello Nessun realmente! ... I guess &quot;No! Davvvero!&quot; is what you mean ,positive
53,"had a flu shot at work, now my arm hurts ",negative
54,@KevinRuddPM: you're a dead set legend! Please make the broadbands super fast I will love you forever. ,positive
55,@d_TRIX my mom just had a root canal also...i feel your pain buddy! ,negative
56,#Microsoft idea: Search the Internet like a celebrity (Todd Bishop/GeekWire) http://t.co/WhROX8KA,neutral
57,@garretjiroux do u write back on twitter? i miss ya garee...  x,negative
58,#Oomf dnt start dis sh*t on #twitter,neutral
59,"REALLY heavy rain, at the top of 18flr building  Splendid.",positive
60,@lanaveenker It's not as much as I appreciate the information. Thanks! ,positive
61,#twitter off!!*,neutral
62,ok my TWEET PEEP i must head to bed now...Got to take a test in Law tomorrow  ...is it summer yet?  anyway much love and HUGGERS,negative
63,"Omni Touch Screen System: going beyond the ""touch screens"" http://t.co/aROkfnOS  #Featured #Tech&amp;Gadgets #Microsoft #Omnitouch",neutral
64,#twitter is great once you get the hang of itâ€œ@HaxxDubbz: @CBMonarch @Bran_Day I told her to get one to be a cool kid lolâ€,neutral
65,@julieand break out your Bible and share some scripture...its what I do!! ,neutral
66,"@joshsharp no money yet, i dont know anyone who has  maybe its all just a lie!! hes having us on so we all like him a little bit more lol",positive
67,"@sarakgee  im not sur ehon, im coming with 2 more people, we have like 10 days. How bout ya'll come ot LA? ",positive
68,Ads not yet appeared  Google Adsense Team said it may delay 48 hrs on http://womenissues.info,negative
69,"called my hunnybunny, and i miss her already!  night lova'!",positive
70,"RT ""@RobyQQ: Your #Twitter followers either like you for your sense of humor or sex appeal."" -- I guess, I'm funny then... LOL!",neutral
71,shares Yeheeyyy! My karma has gone up  http://plurk.com/p/mzrpe,positive
72,"i just finished doing my nails, they are electric blue ",positive
73,"i'm feeling somewhat artistic...time to break out the sketching pad, i feel a new dress design coming ",positive
74,cuz like troybolton is the hottiemcsuperbob. omfgz. my nail buds  - cries -,negative
75,ONE SERIOUS STATEMENT THO ! twitter,neutral
76,@JakeDizzleWins We Need To Speak Sum Real Shit On #Twitter,neutral
77,"@trentvanegas twitter ain't broke, Trent, they got plenty of dough ",neutral
78,No music today. Blip.fm is undergoing maintenance ,negative
79,@ruthclayton oh i aint gonna be ur bitch  but i will be HIS.. muwahaha,negative
80,@jdpeterson  hope you feel better. why cali?,positive
81,@shantelleb so has mine ,negative
82,"#ihateitwhen i think of a cool twit,by da tym i grab da fone & load #twitter i would have forgotten it!!! #dumbass",neutral
83,@KendallMassey @jclayville rocks. But don't tell her I said that ,positive
84,@mademoiselledee That is one freaky movie. I like &quot;I got life&quot; ,positive
85,i want a guy like carmello or jimmy ,negative
86,i wonder how long i can stay up until i pass out and wake up again at 6 ,positive
87,still waiting and missing my baby boy! ,negative
88,ah..I hate flu..now its third day. guess what happened accidently I shaved my eye brows off. I need glasses ,negative
89,@markegli &amp; @kariegli the dinner menu this week is something pasta-y (we have cheese?) and also chicken noodle soup. ,positive
90,@ManwitPURPOSE50 what are you doing now on #twitter????,neutral
91,Too much traffic on the A2  Can't wait till all 10 lanes are ready ... 2010?,negative
92,#Microsoft #Cloud Getting Started with Microsoft's Windows Azure Cloud: The Lay of ...: Good tools integrat... http://t.co/2luPCfho #TCN,neutral
93,yay finally  lmao,positive
94,really hungry...so i grabbed some ice cream from the freeze. ,positive
95,RT @Grazitti: #Twitter to Reformat All URLs With T.co	http://t.co/jnmnbs9W,neutral
96,i had a extravagant yet time conserving plan lined up for today.......which ive now forgotten ,negative
97,Bad day today just bad but loved seeing sancha again ,positive
98,owww.... just hit my elbow really hard on a door ,negative
99,"Hey I'm doing this, at this place, around this time (you should come). #Twitter",positive
100,Goodnight #twitter see you in the morning for another #successful day!,positive
101,RT @nataliajones: Use #Twitter to generate traffic to your website http://t.co/72YmN3kD,neutral
102,@deon - &quot;source shine2&quot;? hahahaha... istilah yang aneh ,positive
103,"@Skiddybabyyy baha. leave it to them to start a fight ,, grr, oh well atleast it makes for amazing entertainment ",positive
104,"@Cuckolds I'm being set up again except now I'll have to watch her with 2 huge membered guys, I feel like a hat stand ",negative
105,"How sad, I did not know Andy Hallet died  http://tinyurl.com/dhq7xv",negative
106,i aint did shit on #twitter untill every girl of #http://t.co/STr7gO6W following me #goalset lol,neutral
107,@95hm You can directly share your #Facebook photos on #Twitter with http://t.co/wYD5RnxN,neutral
108,i dont understand.  i didnt mean to break anyones heart. ,negative
109,What's good #twitter,neutral
110,RT @JOMANERH: My #twitter age is 234 days 13 hours 41 minutes 16 seconds. Find out yours at http://t.co/MT0VAJwd #twittertime,neutral
111,If you are at #Paragon please vote my work!  LOL,positive
112,just finished cooking spag bol from scratch.. in other words been cooking for the past 4 hours! i'm not hungry anymore ,negative
113,ha ha ha   damn i had  such  good  time chillin wit  my  favorite hizzo  danced my face off @ the lodge never made it to backbooth  ..,positive
114,oh oh found some clothes!!  And i love em xD,positive
115,"#Microsoft CEO #Steve_Ballmer on Not Buying #Yahoo: â€œSometimes, Youâ€™re Luckyâ€ http://t.co/YgISO7xt",neutral
116,@DJ_Nasty16 I know. You my only compo. #we be #reppin #twitter,neutral
117,first: UNC DOMINATED!!!!!!!!!!!!!!. second: the hills is back (hallelujah). third: econ paper? gaussian copula is def. NOT that deal ,negative
118,"@eri74 Goodmorning!  hahaha, let me guess .... CB? hahaha me not ",negative
119,For everyones clarification I am not on the run from the law or anything I am just having a few quiet months trying not to go out ,positive
120,37 Ways to Use #Twitter for Business	http://t.co/HGhMpoSE,neutral
121,"@Kelly_N_Va I got your tweets!  Sorry, I was distracted by two heavenly bodies.  ",positive
122,"@markress understand that, we are all busy. I can only tweet after work. ",negative
123,#Microsoft shows 'touch screen' for any surface | Nanotech - The Circuits Blog - CNET News http://t.co/qwhoCf5T via @cnet,neutral
124,@anyshalyke oh you went clubbing without me   lol next time we can do it together,positive
125,im so confused  This SUCKS!!!!!,negative
126,@sydney_holidays Thanks for those ,positive
127,@Schofe not off the side of the bridge I hope? ,positive
128,thinks factorial designs are going to be the death of my test &quot;A&quot;.  Who comes up with this confusing &quot;mathy&quot; stuff?  Ugh ,negative
129,Sleepin. @skankityspence halo tonight before you leave ,negative
130,Shout ou to all my followers! #TWitTER,neutral
